Epsilon,Min Samples,Score,silhouette score,Outliers,Num Clusters
0.01,3,1.8552359563850316,-0.37297253386014806,4560,49
0.01,4,1.7627948592932332,-0.44340124165846845,4697,14
0.01,5,3.6131454676255483,0.2691818193946807,4753,8
0.01,6,3.760591065002846,0.3031355871247001,4795,5
0.01,7,3.872751524943904,0.2823973340603209,4829,6
0.01,8,4.012174869368162,0.3085230432699557,4855,6
0.02,3,1.0854015949132951,-0.4413917377570144,1736,61
0.02,4,1.0767256466583006,-0.40351573676427693,1934,39
0.02,5,1.0565340258875835,-0.20104473363297548,2143,20
0.02,6,1.0630947749043331,-0.23119825431138344,2283,21
0.02,7,1.0893633691888176,-0.11662216931285586,2486,15
0.02,8,1.0927111199814956,-0.08570386385932759,2633,14
0.03,3,1.0074601683917925,-0.39428272420397364,302,11
0.03,4,1.0038770349730455,-0.3403764617570645,345,5
0.03,5,1.001491479740883,0.05850424118334555,370,2
0.04,2,1.0025974200504808,-0.17034910196984257,49,6
0.04,4,1.0009041146291109,0.04009867959625958,61,2
0.04,5,1.0009053703150148,0.04055977148437045,67,2
0.04,8,1.001043672332234,0.0855643598975473,83,2
0.01,9,4.610198330610942,0.38699855862332916,4876,6
0.01,10,4.69303481547326,0.4124590300942834,4902,5
0.01,11,4.731955482247182,0.456990967351635,4930,4
0.01,12,6.0459607335094985,0.5223056927366512,4933,5
0.01,13,6.108444548596723,0.5506360539052373,4952,4
0.02,9,1.0904956433607806,-0.09639143467168443,2731,10
0.02,10,1.0867351956816493,0.16808999479454423,2838,5
0.02,11,1.1153262611353,0.1986286714219277,2895,7
0.02,12,1.1295500728451346,0.2314838094326875,2993,7
0.02,13,1.1301428691514415,0.3361995601762984,3071,5
0.0225,2,1.084517304589966,-0.5568764062339219,874,143
0.0225,3,1.0282107432379857,-0.49116296403852966,1100,30
0.0225,4,1.0186970029017695,-0.4247382064598719,1209,13
0.0225,5,1.0151270706858797,-0.39263408484262136,1307,11
0.0225,6,1.0079875354929448,-0.2741639620610186,1396,6
0.0225,7,1.0043593158959305,-0.1640111392719835,1501,3
0.025,2,1.046370463952149,-0.5556501222491791,558,86
0.025,3,1.0131747832121965,-0.3607916280632638,702,14
0.025,4,1.008339532832209,-0.2815627461888708,759,7
0.025,5,1.008367283934818,-0.22228231349241562,817,5
0.025,6,1.0073219047111177,-0.2782005318458288,863,5
0.025,7,1.0051070933557094,-0.1931767138960247,907,3
0.0275,2,1.0277651106645203,-0.5287173285018102,379,58
0.0275,3,1.0049747168598184,-0.3802396155036156,479,8
0.0275,4,1.0065510213577087,-0.21720308993042323,511,4
0.0275,5,1.006402570278696,-0.2112640178367638,533,4
0.0275,6,1.0047575548774017,-0.2109960399136241,569,3
0.0275,7,1.0067510784079245,-0.20724691764069442,600,4
0.025,9,1.004823835743701,-0.16114418374913436,983,3
0.025,10,1.0022853565410073,-0.09060963712098848,1043,2
0.02,2,1.1892182485743394,-0.47900644784907936,1396,231
0.015,2,1.7824108838923776,-0.20149436530448422,2855,398
